Num,Firstname,Familyname,Subcommittee,Middleinitial,Namesuffix,Affil1Institution,Affil1City,Affil1State,Affil1Country
21,Uijong,Ju,Committee,,,Information Display,Seoul,,Korea, Republic of
22,Alexander,Raake,Committee,,,TU Ilmenau,Ilmenau,,Germany
23,James A.,Walsh,Committee,,,University of South Australia,Mawson Lakes,SA 5095,Australia
24,Sean,Banerjee,Committee,,,Wright State University,Dayton,Ohio,United States
25,Anthony,Rowe,Committee,,,Carnegie Mellon University,Pittsburgh,Pennsylvania,United States
26,Wei,Liang,Committee,,,Beijing Institute of Technology,Beijing,,China
27,Huidong,Bai,Committee,,,The University of Auckland,Auckland,,New Zealand
28,Jens,Grubert,Committee,,,Coburg University,Coburg,Bavaria,Germany
29,Sai-Keung,Wong,Committee,,,National Yang Ming Chiao Tung University,No.1001, Daxue Rd., East Dist.,Hsinchu,Taiwan
30,Stephan,Lukosch,Committee,,,University of Canterbury,Christchurch,Canterbury,New Zealand
31,Yiran,Shen,Committee,,,Shandong University,Jinan,,China
32,Bo,Han,Committee,,,George Mason University,Fairfax,Virginia,United States
33,Heide,Lukosch,Committee,,,University of Canterbury,Christchurch,,New Zealand
34,Thierry,Duval,Committee,,,IMT Atlantique,Brest,,France
35,Ian,Williams,Committee,,,Birmingham City University,Birmingham,West Midlands,United Kingdom
36,Robert,Lindeman,Committee,W.,,University of Canterbury,Christchurch,,New Zealand
37,In-Kwon,Lee,Committee,,,Yonsei University,Seoul,,Korea, Republic of
38,Simon,Su,Committee,,,National Institute of Standards and Technology,Gaithersburg,Maryland,United States
39,Katerina,Mania,Committee,,,Technical University of Crete,Chania,Crete,Greece
40,Seokhee,Jeon,Committee,,,Kyung Hee University,Yongin-si,,Korea, Republic of
41,Rawan,Alghofaili,Committee,,,University of Texas at Dallas,Richardson,Texas,United States
42,Florian,Weidner,Committee,,,Lancaster University,Lancaster,,United Kingdom
43,Hideaki,Uchiyama,Committee,,,Nara Institute of Science and Technology,Nara,Nara,Japan
44,Ronan,Boulic,Committee,,,EPFL,Lausanne,,Switzerland
45,Bingyao,Huang,Committee,,,Stony Brook University,Stony Brook,New York,United States
46,Mariko,Isogawa,Committee,,,Keio University,Yokohama,,Japan
47,Xiaoming,Chen,Committee,,,Beijing Technology and Business University,Beijing,,China
48,Daniel,Lopes,Committee,S.,,Universidade de Lisboa,Lisboa,,Portugal
49,Eric,Hodgson,Committee,,,Miami University,Oxford,Ohio,United States
50,Manuela,Chessa,Committee,,,University of Genoa,Genoa,,Italy
51,Hsiang-Ting,Chen,Committee,,,University of Adelaide,Adelaide,South Australia,Australia
52,Thomas,Pietrzak,Committee,,,Université de Lille,Lille,,France
53,Pan,Hui,Committee,,,The Hong Kong University of Science and Technology,Hong Kong,,China
54,Denis,Kalkofen,Committee,,,Flinders University,Adelaide,,Australia
55,Miao,Wang,Committee,,,Beihang University,Beijing,Beijing,China
56,Claudio,Pacchierotti,Committee,,,CNRS,Rennes,,France
57,Frank,Steinicke,Committee,,,Universität Hamburg,Hamburg,,Germany
58,Missie,Smith,Committee,,,Auburn University,Auburn,Alabama,United States
59,Yuyang,Wang,Committee,,,The Hong Kong University of Science and Technology (Guangzhou),Guangzhou,,China
60,Feng,Lu,Committee,,,School of CSE, Beihang University,Beijing,,China
61,Aniket,Bera,Committee,,,Purdue University,West Lafayette,Indiana,United States
62,Dinesh,Manocha,Committee,,,University of Maryland ,College Park,Maryland,United States
63,Akifumi,Takahashi,Committee,,,The University of Tokyo,Bunkyo-ku,Tokyo,Japan
64,Sabarish V.,Babu,Committee,,,Clemson University,Clemson,South Carolina,United States
65,Fang-Lue,Zhang,Committee,,,Victoria University of Wellingtong,Wellington,,New Zealand
66,Feiyu,Lu,Committee,,,J.P. Morgan Chase & Co.,New York,New York,United States
67,Yang,Gao,Committee,,,Beihang university,Beijing,,China
68,Anil Ufuk,Batmaz,Committee,,,Concordia University,Montreal,Quebec,Canada
69,Francesco,Ferrise,Committee,,,Politecnico di MIlano,Milan,,Italy
70,Takefumi,Hiraki,Committee,,,Cluster Metaverse Lab,Tokyo,,Japan
71,Hai-Ning,Liang,Committee,,,The Hong Kong University of Science and Technology (Guangzhou),Guangzhou,Guangdong,China
72,Markus,Tatzgern,Committee,,,Salzburg University of Applied Sciences,Puch,,Austria
73,Sen-Zhe,Xu,Committee,,,University of Science and Technology Beijing,Beijing,,China
74,Kaan,Akşit,Committee,,,University College London,London,,United Kingdom
75,Goshiro,Yamamoto,Committee,,,Kyoto University,Kyoto,,Japan
76,Takafumi,Taketomi,Committee,,,CyberAgent,Tokyo,,Japan
77,Adrian,Clark,Committee,J.,,University of Canterbury,Christchurch,,New Zealand
78,Mohan,Zalake,Committee,,,University of Florida,Gainesville,Florida,United States
79,Mallesham,Dasari,Committee,,,Northeastern University,Boston,Massachusetts,United States
80,Solene,Neyret,Committee,,,Arts et Métiers Institute of Technology, LAMPA, HESAM Université, F-53810,Change,,France
81,Yoshihiro,Kuroda,Committee,,,University of Tsukuba,Tsukuba,,Japan
82,Shiguang,Liu,Committee,,,Tianjin University,Tianjin,,China
83,Kiyoshi,Kiyokawa,Committee,,,Nara Institute of Science and Technology,Ikoma,Nara,Japan
84,Thammathip,Piumsomboon,Committee,,,University of Canterbury,Christchurch,Canterbury,New Zealand
85,Edgar,Rojas Munoz,Committee,J.,,Texas A&M University,College Station,Texas,United States
86,Hartmut,Seichter,Committee,,,University of Applied Sciences Schmalkalden,Schmalkalden,,Germany
87,Xun,Qian,Committee,,,Google,Mountain View,California,United States
88,Xueying,Qin,Committee,,,Shandong University,Jinan,Shandong Province,China
89,Kazuki,Takashima,Committee,,,Shibaura Institute of Technology,Saitama,,Japan
90,Eike,Langbehn,Committee,,,University of Applied Sciences Hamburg,Hamburg,,Germany
91,Iana,Podkosova,Committee,,,TU Wien,Vienna,,Austria
92,Vinicius,Costa de Souza,Committee,,,Institute of Informatics, Federal University of Rio Grande do Sul (UFRGS),Porto Alegre,RS,Brazil
93,Janki,Dodiya,Committee,,,IU Internationale Hochschule,Braunschweig,,Germany
94,Guofeng,Zhang,Committee,,,Zhejiang University,Hangzhou,,China
95,Yue,Liu,Committee,,,Beijing Institute of Technology,Beijing,,China
96,Chao,Peng,Committee,,,Rochester Institute of Technology,Rochester,New York,United States
97,Roshan,Venkatakrishnan,Committee,,,University of Florida,Gainesville,Florida,United States
98,Haibin,Ling,Committee,,,Stony Brook University,New York,New York,United States
99,Ivan,Rodriguez-Conde,Committee,,,University of Arkansas at Little Rock,Little Rock,Arkansas,United States
100,Nobuchika,Sakata,Committee,,,Ryukoku University,Otsu,Shiga,Japan
101,Tim,Weissker,Committee,,,RWTH Aachen University,Aachen,,Germany
102,Maite,Frutos-Pascual,Committee,,,Birmingham City University,Birmingham,,United Kingdom
103,Gerard,Kim,Committee,J.,,Korea University,Seoul,NA,Korea, Republic of
104,Fatima,Nunes,Committee,L. S.,,University of São Paulo,São Paulo,São Paulo,Brazil
105,Yoshihiro,Watanabe,Committee,,,Tokyo Institute of Technology,Tokyo,,Japan
106,Torsten,Kuhlen,Committee,W.,,RWTH Aachen University,Aachen,,Germany
107,Yalong,Yang,Committee,,,Georgia Institute of Technology,Atlanta,Georgia,United States
108,Etienne,Peillard,Committee,,,IMT Atlantique,Brest,,France
109,Per Ola,Kristensson,Committee,,,University of Cambridge,Cambridge,,United Kingdom
110,Rohith,Venkatakrishnan,Committee,,,Clemson University,Clemson,South Carolina,United States
111,Hideo,Saito,Committee,,,Keio University,Yokohama,,Japan
112,Aline,Menin,Committee,,,Inria,Sophia Antipolis,,France
113,Gabriel,Zachmann,Committee,,,University of Bremen,Bremen,,Germany
114,Stefania,Serafin,Committee,,,Aalborg University,Copenhagen,,Denmark
115,Yuichi,Hiroi,Committee,,,Cluster Metaverse Lab,Tokyo,,Japan
116,Alexander,Plopski,Committee,,,TU Graz,Graz,,Austria
117,Pablo,Figueroa,Committee,,,Universidad de los Andes,Bogota,D.C.,Colombia
118,Carla,Dal Sasso Freitas,Committee,M.,,Federal University of Rio Grande do Sul,Porto Alegre,RS,Brazil
119,Charles,Hughes,Committee,E.,,University of Central Florida,Orlando,Florida,United States
120,Arnulph,Fuhrmann,Committee,,,TH Köln,Köln,,Germany
121,Alexandre,Gomes de Siqueira,Committee,,,Florida University,Gainesville,Florida,United States
122,Marcelo,Zuffo,Committee,K.,,Universidade de São Paulo,São Paulo,SP,Brazil
123,Rifatul,Islam,Committee,,,Kennesaw State University,Atlanta,Georgia,United States
124,Hakim,Si-Mohammed,Committee,,,University of Lille,Lille,,France
125,Joaquim,Jorge,Committee,,,Universidade de Lisboa,Lisboa,,Portugal
126,Yuichiro,Fujimoto,Committee,,,Ryukoku University,Shiga,,Japan
127,Gudrun,Klinker,Committee,,,Technical University of Munich,Munich,,Germany
128,Valérie,Gouranton,Committee,,,Univ Rennes, INSA Rennes, Inria, CNRS, IRISA,Rennes,,France
129,Kangsoo,Kim,Committee,,,University of Calgary,Calgary,Alberta,Canada
130,Joseph,LaViola,Committee,,,University of Central Florida,Orlando,Florida,United States
131,Benjamin,Weyers,Committee,,,Trier University,Trier,,Germany
132,Christian,Hansen,Committee,,,Otto von Guericke University,Magdeburg,,Germany
133,Anthony,Steed,Committee,,,University College London,London,,United Kingdom
134,Lauren,Buck,Committee,,,University of Utah,Salt Lake City,Utah,United States
135,Justine,Saint-Aubert,Committee,,,CNRS, Inria, IRISA Bretagne-Atlantique,Rennes,,France
136,Tanvir Irfan,Chowdhury,Committee,,,Marshall University,Huntington,West Virginia,United States
137,Sheng,Li,Committee,,,Peking University,Beijing,,China
138,Wallace,Lages,Committee,S.,,Northeastern University,BOSTON,Massachusetts,United States
139,Toshiyuki,Amano,Committee,,,Wakayama University,Wakayama,,Japan
140,Timothy,Merritt,Committee,,,Aalborg University,Aalborg,,Denmark
141,Daniel,Medeiros,Committee,,,Telecom Paris/Institut Polytechnique de Paris,Paris,,France
142,Mark,Billinghurst,Committee,,,University of South Australia,Mawson Lakes,,Australia
143,Daniel,Roth,Committee,,,Technical University of Munich,Munich,Bavaria,Germany
144,Kening,Zhu,Committee,,,City University of Hong Kong,HongKong,,China
145,Chao,Mei,Committee,,,TCL Industries Holdings,Shenzhen,,China
146,Akrivi,Katifori,Committee,,,National and Kapodistrian University of Athens,Athens,,Greece
147,Andrew,Robb,Committee,,,Clemson University,Clemson,South Carolina,United States
148,BoYu,Gao,Committee,,,Jinan University,Guangzhou,,China
